district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Brighton,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/brightondistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionbrightondistrict.html,"NEWBURY, James",LIBERAL,45224,38759,1697,40456,89.46,,"NEWBURY, James",LIBERAL,17597,"NEWBURY, James",LIBERAL,19812,"MARTIN, Declan",AUSTRALIAN LABOR PARTY,18947,865,False,2215
Broadmeadows,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/broadmeadowsdistrict.html,,"MCGUIRE, Frank",AUSTRALIAN LABOR PARTY,43657,32287,3629,35916,82.27,,"MCGUIRE, Frank",AUSTRALIAN LABOR PARTY,22047,"MCGUIRE, Frank",AUSTRALIAN LABOR PARTY,25957,"DOW, Jenny",LIBERAL,6375,19582,False,3910
Brunswick,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/brunswickdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionbrunswickdistrict.html,"READ, Tim",AUSTRALIAN GREENS,53340,43927,2927,46854,87.84,,"READ, Tim",AUSTRALIAN GREENS,17599,"READ, Tim",AUSTRALIAN GREENS,22215,"O'CONNOR, Cindy",AUSTRALIAN LABOR PARTY,21712,503,False,4616
Bulleen,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bulleendistrict.html,,"GUY, Matthew",LIBERAL,44110,37257,2646,39903,90.46,,"GUY, Matthew",LIBERAL,19441,"GUY, Matthew",LIBERAL,20826,"MACKENZIE, Fiona",AUSTRALIAN LABOR PARTY,16518,4308,False,1385
Bundoora,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bundooradistrict.html,,"BROOKS, Colin",AUSTRALIAN LABOR PARTY,40892,35098,2226,37324,91.27,,"BROOKS, Colin",AUSTRALIAN LABOR PARTY,19716,"BROOKS, Colin",AUSTRALIAN LABOR PARTY,23722,"MULHOLLAND, Jenny",LIBERAL,11462,12260,False,4006
Buninyong,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/buninyongdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionbuninyongdistrict.html,"SETTLE, Michaela",AUSTRALIAN LABOR PARTY,45559,38594,3160,41754,91.65,,"SETTLE, Michaela",AUSTRALIAN LABOR PARTY,18965,"SETTLE, Michaela",AUSTRALIAN LABOR PARTY,19436,"KILMARTIN, Andrew",LIBERAL,12956,6480,False,471
Burwood,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/burwooddistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionburwooddistrict.html,"FOWLES, Will",AUSTRALIAN LABOR PARTY,43169,37767,1348,39115,90.61,,"WATT, Graham",LIBERAL,16138,"FOWLES, Will",AUSTRALIAN LABOR PARTY,20132,"WATT, Graham",LIBERAL,17635,2497,True,5208
Carrum,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/carrumdistrict.html,,"KILKENNY, Sonya",AUSTRALIAN LABOR PARTY,48726,41420,2618,44038,90.38,,"KILKENNY, Sonya",AUSTRALIAN LABOR PARTY,21844,"KILKENNY, Sonya",AUSTRALIAN LABOR PARTY,25660,"BAUER, Donna",LIBERAL,15761,9899,False,3816
Caulfield,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/caulfielddistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributioncaulfielddistrict.html,"SOUTHWICK, David",LIBERAL,45222,38120,1735,39855,88.13,,"SOUTHWICK, David",LIBERAL,17861,"SOUTHWICK, David",LIBERAL,19162,"GRASSO, Sorina",AUSTRALIAN LABOR PARTY,18958,204,False,1301
Clarinda,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/clarindadistrict.html,,"TAK, Meng Heang",AUSTRALIAN LABOR PARTY,44462,36761,2644,39405,88.63,,"TAK, Meng Heang",AUSTRALIAN LABOR PARTY,20421,"TAK, Meng Heang",AUSTRALIAN LABOR PARTY,24788,"BEVINAKOPPA, Gandhi",LIBERAL,11976,12812,False,4367
