district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes
Bibra Lake,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LAI, Sook Yee",Australian Labor Party,32053,25485,1512,26997,84.23,12743,0,first,,,"DICKINSON, Bradley",Pauline Hanson's One Nation,1063
Bibra Lake,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LAI, Sook Yee",Australian Labor Party,32053,25485,1512,26997,84.23,12743,0,first,,,"GIBB, Bradley",Legalise Cannabis Party WA,926
Bibra Lake,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LAI, Sook Yee",Australian Labor Party,32053,25485,1512,26997,84.23,12743,0,first,,,"YEAP, Leon",Australian Christians,753
Bibra Lake,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LAI, Sook Yee",Australian Labor Party,32053,25485,1512,26997,84.23,12743,1,final,,,"LAI, Sook Yee",Australian Labor Party,16339
Bibra Lake,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LAI, Sook Yee",Australian Labor Party,32053,25485,1512,26997,84.23,12743,1,final,,,"WALSH, Robyn",The Greens,9092
Bicton,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"O'MALLEY, Lisa",Australian Labor Party,31882,27554,924,28478,89.32,13778,0,first,,,"O'MALLEY, Lisa",Australian Labor Party,12438
Bicton,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"O'MALLEY, Lisa",Australian Labor Party,31882,27554,924,28478,89.32,13778,0,first,,,"DOWSON, Chris",Liberal Party,9562
Bicton,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"O'MALLEY, Lisa",Australian Labor Party,31882,27554,924,28478,89.32,13778,0,first,,,"BENNETT, Adam",The Greens,3982
Bicton,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"O'MALLEY, Lisa",Australian Labor Party,31882,27554,924,28478,89.32,13778,0,first,,,"SMITH, Tim",Pauline Hanson's One Nation,868
Bicton,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"O'MALLEY, Lisa",Australian Labor Party,31882,27554,924,28478,89.32,13778,0,first,,,"KOUL, Bill",The Nationals,704
Bicton,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"O'MALLEY, Lisa",Australian Labor Party,31882,27554,924,28478,89.32,13778,1,final,,,"O'MALLEY, Lisa",Australian Labor Party,16346
Bicton,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"O'MALLEY, Lisa",Australian Labor Party,31882,27554,924,28478,89.32,13778,1,final,,,"DOWSON, Chris",Liberal Party,11200
Bunbury,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"PUNCH, Don",Australian Labor Party,32845,26106,1425,27531,83.82,13054,0,first,,,"PUNCH, Don",Australian Labor Party,10669
Bunbury,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"PUNCH, Don",Australian Labor Party,32845,26106,1425,27531,83.82,13054,0,first,,,"REID, Heather",Liberal Party,7223
